chromosome,probe_id_id,n_patients_with_probe
chr12,cg05758804,8893
chr12,cg05771518,8895
chr12,cg05819371,8895
chr12,cg05841486,8895
chr12,cg05897030,8839
chr12,cg05899984,8895
chr12,cg05907082,8895
chr12,cg05934698,8895
chr12,cg05940536,10978
chr12,cg05948411,8895
chr12,cg05953180,8895
chr12,cg05957285,8893
chr12,cg05957567,8895
chr12,cg05987650,8895
chr12,cg06003296,8895
chr12,cg06018748,8895
chr12,cg06024623,8894
chr12,cg06024930,8895
chr12,cg06058319,10979
chr12,cg06074958,8895
chr12,cg06086316,8895
chr12,cg06098146,8895
chr12,cg06118478,8895
chr12,cg06139513,8895
chr12,cg06160973,8893
chr12,cg06196466,8895
chr12,cg06197769,8894
chr12,cg06200494,8895
chr12,cg06204938,8895
chr12,cg06210576,8894
chr12,cg06211872,8895
chr12,cg06225767,8894
chr12,cg06227406,8869
chr12,cg06242243,8894
chr12,cg06267927,8895
chr12,cg06275125,8895
chr12,cg06287140,8895
chr12,cg06296553,8894
chr12,cg06296759,8895
chr12,cg06357748,8895
chr12,cg06357925,10979
chr12,cg06378010,8894
chr12,cg06411578,8895
chr12,cg06412917,8895
chr12,cg06422659,8895
chr12,cg06444781,10979
chr12,cg06516865,8895
chr12,cg06531661,8895
chr12,cg06551025,8895
chr12,cg06587521,8888
chr12,cg06613666,8894
chr12,cg06616245,10978
chr12,cg06627361,8894
chr12,cg06629086,8895
chr12,cg06630241,10976
chr12,cg06630413,8894
chr12,cg06638827,8893
chr12,cg06646494,8893
chr12,cg06652329,8869
chr12,cg06655771,8894
chr12,cg06679990,8895
chr12,cg06680065,8895
chr12,cg06689961,8895
chr12,cg06708432,8895
chr12,cg06708720,8895
chr12,cg06708937,8895
chr12,cg06712651,8484
chr12,cg06761203,8894
chr12,cg06799248,8895
chr12,cg06807713,8895
chr12,cg06826457,8895
chr12,cg06831658,2117
chr12,cg06862343,8895
chr12,cg06923988,8895
chr12,cg06942010,8895
chr12,cg06977905,8895
chr12,cg07019303,8895
chr12,cg07020001,8895
chr12,cg07035173,8895
chr12,cg07058694,8895
chr12,cg07066369,8895
chr12,cg07066860,8895
chr12,cg07092057,8895
chr12,cg07106761,8895
chr12,cg07116851,8895
chr12,cg07123069,10978
chr12,cg07124520,8895
chr12,cg07125541,8894
chr12,cg07134316,8895
chr12,cg07154754,8893
chr12,cg07156824,8895
chr12,cg07156959,8895
chr12,cg07165616,8895
chr12,cg07167098,8895
chr12,cg07178945,8895
chr12,cg07181862,8895
chr12,cg07202430,8895
chr12,cg07207891,8894
chr12,cg07210490,10979
chr12,cg07215749,10979
chr12,cg07218487,8895
chr12,cg07239110,8895
chr12,cg07260273,8895
chr12,cg07271268,10978
chr12,cg07275860,8895
chr12,cg07276957,8894
chr12,cg07297830,8895
chr12,cg07300574,8895
chr12,cg07306676,8895
chr12,cg07307789,8895
chr12,cg07338984,8895
chr12,cg07359518,8895
chr12,cg07398954,8895
chr12,cg07420333,8894
chr12,cg07456485,8895
chr12,cg07472069,8895
chr12,cg07474126,8894
chr12,cg07480495,8895
chr12,cg07529210,8895
chr12,cg07529428,8895
chr12,cg07561017,8894
chr12,cg07588358,8895
chr12,cg07640390,8893
chr12,cg07650504,8895
chr12,cg07687131,8895
chr12,cg07692853,8895
chr12,cg07697238,8895
chr12,cg07708937,8895
chr12,cg07739604,8895
chr12,cg07788451,8895
chr12,cg07793808,8895
chr12,cg07800907,8890
chr12,cg07810733,8895
chr12,cg07813377,8895
chr12,cg07821676,8895
chr12,cg07835154,8894
chr12,cg07892422,8895
chr12,cg07919028,8895
chr12,cg07926491,8895
chr12,cg07927257,8895
chr12,cg07933076,8894
chr12,cg07938459,8895
chr12,cg07968091,8895
chr12,cg08002996,10979
chr12,cg08033722,8894
chr12,cg08043998,8895
chr12,cg08045757,10979
chr12,cg08064997,8895
chr12,cg08069899,10979
chr12,cg08088948,8894
chr12,cg08089780,8895
chr12,cg08143046,8894
chr12,cg08145262,8823
chr12,cg08149581,8844
chr12,cg08163578,8894
chr12,cg08171937,8895
chr12,cg08192337,8895
chr12,cg08197201,10977
chr12,cg08222800,8895
chr12,cg08268814,8895
chr12,cg08273772,8895
chr12,cg08276543,8895
chr12,cg08279757,8895
chr12,cg08285180,8895
chr12,cg08289700,8894
chr12,cg08290943,8894
chr12,cg08299299,8895
chr12,cg08330778,8895
chr12,cg08348100,8895
chr12,cg08399917,8895
chr12,cg08403428,8895
chr12,cg08520742,8895
chr12,cg08522443,8889
chr12,cg08547457,8894
chr12,cg08553284,8895
chr12,cg08573574,8895
chr12,cg08578186,8895
chr12,cg08578305,10979
chr12,cg08611093,8893
chr12,cg08685085,8895
chr12,cg08736634,8895
chr12,cg08797454,8892
chr12,cg08803500,8895
chr12,cg08806558,8895
chr12,cg08829281,8895
chr12,cg08832851,8891
chr12,cg08847724,8893
chr12,cg08857479,8895
chr12,cg08886711,8895
chr12,cg08942080,8895
chr12,cg08956010,8895
chr12,cg08957683,8895
chr12,cg08962452,8895
chr12,cg08969549,8868
chr12,cg08976554,8895
chr12,cg08984436,8893
chr12,cg08993262,8895
chr12,cg09039672,8895
chr12,cg09047551,8894
chr12,cg09053536,8895
chr12,cg09058293,8894
chr12,cg09071093,8895
chr12,cg09075307,8895
chr12,cg09082441,8895
chr12,cg09094631,8895
chr12,cg09096528,8891
chr12,cg09106624,8895
chr12,cg09126273,10979
chr12,cg09132240,8895
chr12,cg09133028,8894
chr12,cg09151742,8895
chr12,cg09170652,8894
chr12,cg09187936,8895
chr12,cg09211850,8895
chr12,cg09239099,8895
chr12,cg09260225,8894
chr12,cg09266901,8895
chr12,cg09267427,8895
chr12,cg09273910,8895
chr12,cg09277744,8895
chr12,cg09288989,8890
chr12,cg09293737,8894
chr12,cg09303642,10978
chr12,cg09323400,8883
chr12,cg09337511,8895
chr12,cg09363891,8895
chr12,cg09369651,8895
chr12,cg09371693,8894
chr12,cg09379965,8895
chr12,cg09411874,8895
chr12,cg09413529,8895
chr12,cg09417774,8895
chr12,cg09440289,10979
chr12,cg09470640,10976
chr12,cg09482816,8895
chr12,cg09504352,10979
chr12,cg09643371,8895
chr12,cg09644157,8894
chr12,cg09676622,8895
chr12,cg09687907,8894
chr12,cg09703114,8894
chr12,cg09736112,8895
chr12,cg09740133,8881
chr12,cg09741588,8835
chr12,cg09781971,8895
chr12,cg09782746,8895
chr12,cg09799980,8895
chr12,cg09800235,8894
chr12,cg09820373,8862
chr12,cg09825309,8895
chr12,cg09878554,8894
chr12,cg09883678,8895
chr12,cg09908986,8895
chr12,cg09918929,8788
chr12,cg09939269,8895
chr12,cg09942210,8895
chr12,cg09957712,8895
chr12,cg10027017,8895
chr12,cg10056728,8895
chr12,cg10057843,8895
chr12,cg10065957,8895
chr12,cg10071091,8895
chr12,cg10078645,8895
chr12,cg10084383,8895
chr12,cg10091994,8895
chr12,cg10104687,8794
chr12,cg10152475,8895
chr12,cg10155026,8895
chr12,cg10192527,8895
chr12,cg10200168,8894
chr12,cg10230355,8892
chr12,cg10235656,8894
chr12,cg10257478,8892
chr12,cg10283036,8895
chr12,cg10315420,8882
chr12,cg10330024,8895
chr12,cg10358780,8891
chr12,cg10360769,8891
chr12,cg10367011,8895
chr12,cg10368533,8895
chr12,cg10377764,10979
chr12,cg10449070,10979
chr12,cg10456459,8892
chr12,cg10502244,8893
chr12,cg10507156,8895
chr12,cg10512020,8891
chr12,cg10530281,10979
chr12,cg10530560,8894
chr12,cg10535858,8894
chr12,cg10552903,8895
chr12,cg10569807,8844
chr12,cg10573521,8895
chr12,cg10583414,8894
chr12,cg10597485,8895
chr12,cg10605791,8895
chr12,cg10609442,8895
chr12,cg10615271,8895
chr12,cg10641483,8894
chr12,cg10646402,10979
chr12,cg10654373,8895
chr12,cg10670310,8895
chr12,cg10672201,8895
chr12,cg10695848,8895
chr12,cg10700564,8895
chr12,cg10704534,8894
chr12,cg10708905,10979
chr12,cg10764440,8894
chr12,cg10774305,8894
chr12,cg10788674,8895
chr12,cg10815202,8895
chr12,cg10816846,8895
chr12,cg10820376,8895
chr12,cg10849160,8895
chr12,cg10860819,8895
chr12,cg10869879,8895
chr12,cg10877430,8895
chr12,cg10887937,8895
chr12,cg10900351,8895
chr12,cg10918016,8894
chr12,cg10929873,8895
chr12,cg10933028,8895
chr12,cg10934766,8895
chr12,cg10961753,8893
chr12,cg10988187,8895
chr12,cg10996589,8895
chr12,cg10998878,8895
chr12,cg11004401,8893
chr12,cg11018432,8894
chr12,cg11025519,8895
chr12,cg11038646,8895
chr12,cg11049813,8892
chr12,cg11050793,8895
chr12,cg11055242,8893
chr12,cg11074088,8895
chr12,cg11075854,8895
chr12,cg11081034,8895
chr12,cg11122301,8894
chr12,cg11135021,8895
chr12,cg11175476,10711
chr12,cg11204099,8895
chr12,cg11210443,8895
chr12,cg11214164,8895
chr12,cg11216616,10979
chr12,cg11220641,8895
chr12,cg11225410,10979
chr12,cg11225935,10969
chr12,cg11227628,8895
chr12,cg11228052,8895
chr12,cg11228165,8895
chr12,cg11228504,8895
chr12,cg11229610,8845
chr12,cg11246938,8895
chr12,cg11255394,8895
chr12,cg11276198,10979
chr12,cg11303425,8895
chr12,cg11311053,8895
chr12,cg11326574,8895
chr12,cg11343534,8895
chr12,cg11375112,8894
chr12,cg11390398,8894
chr12,cg11437331,8895
chr12,cg11466369,8895
chr12,cg11525011,8895
chr12,cg11550862,8893
chr12,cg11557658,8895
chr12,cg11565429,8895
chr12,cg11590705,8667
chr12,cg11598312,8894
chr12,cg11601197,8895
chr12,cg11601836,8894
chr12,cg11603030,8894
chr12,cg11608114,10977
chr12,cg11612617,8893
chr12,cg11625946,10979
chr12,cg11639950,8895
chr12,cg11646730,8895
chr12,cg11650218,8892
chr12,cg11650460,8895
chr12,cg11655490,8895
chr12,cg11684302,8895
chr12,cg11684647,8895
chr12,cg11721803,8895
chr12,cg11724984,8895
chr12,cg11728497,8895
chr12,cg11738543,10978
chr12,cg11746362,8895
chr12,cg11775492,8895
chr12,cg11787160,8895
chr12,cg11808531,8895
chr12,cg11834730,8889
chr12,cg11835619,8895
chr12,cg11846355,8895
chr12,cg11857392,8895
chr12,cg11918474,8894
chr12,cg11924260,8895
chr12,cg11924518,8895
chr12,cg11930279,8895
chr12,cg11939071,10979
chr12,cg11970050,8894
chr12,cg12011897,8895
chr12,cg12056977,8895
chr12,cg12068463,8895
chr12,cg12080431,8895
chr12,cg12105382,8895
chr12,cg12116908,8894
chr12,cg12120327,8895
chr12,cg12141052,8890
chr12,cg12142865,8895
chr12,cg12154538,8895
chr12,cg12157156,8895
chr12,cg12160586,8895
chr12,cg12165841,8894
chr12,cg12166080,8894
chr12,cg12171509,8895
chr12,cg12213811,8895
chr12,cg12230296,8895
chr12,cg12232388,8895
chr12,cg12235144,8894
chr12,cg12251659,8895
chr12,cg12255505,8895
chr12,cg12275348,10963
chr12,cg12313568,10979
chr12,cg12352601,8895
chr12,cg12366597,8894
chr12,cg12371263,8892
chr12,cg12382902,10978
chr12,cg12385370,8895
chr12,cg12388583,8895
chr12,cg12403778,8894
chr12,cg12488585,8895
chr12,cg12492753,8895
chr12,cg12492900,8895
chr12,cg12504957,10978
chr12,cg12509268,8895
chr12,cg12529816,8895
chr12,cg12530050,8894
chr12,cg12536292,8895
chr12,cg12550203,8895
chr12,cg12557235,8895
chr12,cg12587921,8895
chr12,cg12594237,8895
chr12,cg12599390,8895
chr12,cg12601142,8888
chr12,cg12639558,8894
chr12,cg12655169,8895
chr12,cg12657043,8895
chr12,cg12664938,8894
chr12,cg12690127,8895
chr12,cg12693595,8895
chr12,cg12698494,8894
chr12,cg12712768,8895
chr12,cg12742178,8895
chr12,cg12751042,8895
chr12,cg12760110,8894
chr12,cg12764051,8895
chr12,cg12800105,8893
chr12,cg12806067,8895
chr12,cg12885832,8895
chr12,cg12888660,8894
chr12,cg12910175,8895
chr12,cg12945378,8895
chr12,cg12990174,8894
chr12,cg13004878,8895
chr12,cg13007988,10897
chr12,cg13014709,8893
chr12,cg13015710,8894
chr12,cg13030031,8895
chr12,cg13030332,8895
chr12,cg13063967,8894
chr12,cg13079837,8895
chr12,cg13080151,8895
chr12,cg13085553,8895
chr12,cg13116789,8895
chr12,cg13117031,8893
chr12,cg13131577,8894
chr12,cg13132650,8895
chr12,cg13138552,8895
chr12,cg13146040,8895
chr12,cg13148824,8895
chr12,cg13149662,8895
chr12,cg13179085,8892
chr12,cg13185702,8895
chr12,cg13190986,8894
chr12,cg13191129,8895
chr12,cg13200550,8867
chr12,cg13209683,8895
chr12,cg13214886,8895
chr12,cg13223509,8895
chr12,cg13289884,8892
chr12,cg13321745,8895
chr12,cg13329981,8893
chr12,cg13330524,8895
chr12,cg13333141,2117
chr12,cg13333954,8895
chr12,cg13335447,8895
chr12,cg13349421,8895
chr12,cg13391820,8894
chr12,cg13401811,8894
chr12,cg13404421,8894
chr12,cg13416396,8895
chr12,cg13419087,8895
chr12,cg13422817,8895
chr12,cg13435381,10978
chr12,cg13442495,8894
chr12,cg13484813,8894
chr12,cg13496511,8895
chr12,cg13505011,8895
chr12,cg13521951,8893
chr12,cg13532571,8895
chr12,cg13549444,8894
chr12,cg13553938,8895
chr12,cg13554714,8895
chr12,cg13554901,8893
chr12,cg13565575,8895
chr12,cg13574590,2117
chr12,cg13575161,8895
chr12,cg13581922,8895
chr12,cg13610138,8888
chr12,cg13618596,8895
chr12,cg13625187,8895
chr12,cg13653195,8895
chr12,cg13661623,8895
chr12,cg13697207,8895
chr12,cg13708645,8895
chr12,cg13717333,8895
chr12,cg13792506,8895
chr12,cg13801381,10979
chr12,cg13812230,8895
chr12,cg13829104,8895
chr12,cg13855243,8885
chr12,cg13857025,8894
chr12,cg13868565,8895
chr12,cg13874153,8895
chr12,cg13903809,8895
chr12,cg13903917,8895
chr12,cg13908299,8895
chr12,cg13930596,8895
chr12,cg13952636,8894
chr12,cg13955512,8895
chr12,cg13982220,8895
chr12,cg13987226,8894
chr12,cg14031846,8895
chr12,cg14062067,8895
chr12,cg14069622,8894
chr12,cg14101604,8894
chr12,cg14101638,8895
chr12,cg14119236,10978
chr12,cg14138611,8894
chr12,cg14143331,8856
chr12,cg14185801,8895
chr12,cg14219896,8895
chr12,cg14230390,8895
chr12,cg14240353,8895
chr12,cg14248360,8895
chr12,cg14255337,8895
chr12,cg14255981,8895
chr12,cg14256268,8895
chr12,cg14278575,8895
chr12,cg14285731,8895
chr12,cg14311559,8895
chr12,cg14315430,8895
chr12,cg14378593,8895
chr12,cg14387153,8895
chr12,cg14400030,8895
chr12,cg14408356,8894
chr12,cg14411202,8895
chr12,cg14414332,8894
chr12,cg14429393,8895
chr12,cg14489470,8895
chr12,cg14518868,8894
chr12,cg14543527,8895
chr12,cg14566857,8895
chr12,cg14574369,8895
chr12,cg14576128,8895
chr12,cg14597361,8895
chr12,cg14602222,8895
chr12,cg14659678,8895
chr12,cg14693090,8895
chr12,cg14704124,8894
chr12,cg14737296,8895
chr12,cg14737592,8895
chr12,cg14782437,8895
chr12,cg14787758,8895
chr12,cg14794428,8895
chr12,cg14830166,8895
chr12,cg14834893,8895
chr12,cg14838474,8895
chr12,cg14883392,2117
chr12,cg14898623,8894
chr12,cg14914982,10979
chr12,cg14916754,8895
chr12,cg14917044,8895
chr12,cg14918927,8895
chr12,cg14951136,8894
chr12,cg14996810,8895
chr12,cg14998917,8895
chr12,cg15002721,8895
chr12,cg15021531,10979
chr12,cg15055395,8895
chr12,cg15062795,10978
chr12,cg15085427,8895
chr12,cg15085899,8894
chr12,cg15108410,8895
chr12,cg15120882,8887
chr12,cg15125424,10949
chr12,cg15141592,8895
chr12,cg15151387,8893
chr12,cg15157840,8895
chr12,cg15162335,8895
chr12,cg15233611,8895
chr12,cg15234492,8895
chr12,cg15235987,8895
chr12,cg15237644,8894
chr12,cg15238467,8895
chr12,cg15249119,8894
chr12,cg15249639,8894
chr12,cg15264083,8895
chr12,cg15264991,8895
chr12,cg15265970,8895
chr12,cg15266205,8878
chr12,cg15316703,8894
chr12,cg15340887,8894
chr12,cg15348430,8895
chr12,cg15348972,8888
chr12,cg15390816,8895
chr12,cg15394142,8890
chr12,cg15402075,8895
chr12,cg15434599,10970
chr12,cg15437457,8893
chr12,cg15438404,8894
chr12,cg15455156,8895
chr12,cg15465823,8895
chr12,cg15611413,8895
chr12,cg15612927,10977
chr12,cg15627464,8894
chr12,cg15631781,8895
chr12,cg15645138,8895
chr12,cg15648859,8893
chr12,cg15659347,8895
chr12,cg15695155,8895
chr12,cg15695435,8895
chr12,cg15721666,8895
chr12,cg15731152,8895
chr12,cg15773726,8895
chr12,cg15790839,8894
chr12,cg15791105,8895
chr12,cg15822795,8895
chr12,cg15826273,8895
chr12,cg15830509,8895
chr12,cg15843572,8895
chr12,cg15847604,8895
chr12,cg15857731,8895
chr12,cg15862358,8895
chr12,cg15871766,8889
chr12,cg15877906,8894
chr12,cg15883094,8864
chr12,cg15887497,8895
chr12,cg15908398,8895
chr12,cg15909056,8892
chr12,cg15919066,8894
chr12,cg15926737,8895
chr12,cg15937634,8895
chr12,cg15963344,8895
chr12,cg15975802,8895
chr12,cg15985470,8894
chr12,cg15993083,8856
chr12,cg15996644,8895
chr12,cg16009877,8894
chr12,cg16014168,8895
chr12,cg16019700,8889
chr12,cg16046261,8895
chr12,cg16086579,8894
chr12,cg16089935,8895
chr12,cg16099107,8895
chr12,cg16111364,8895
chr12,cg16116313,8895
chr12,cg16175725,10979
chr12,cg16181859,8895
chr12,cg16182707,8860
chr12,cg16191024,8895
chr12,cg16204509,8895
chr12,cg16205844,8895
chr12,cg16246698,8894
chr12,cg16260572,8893
chr12,cg16263701,8895
chr12,cg16277169,8895
chr12,cg16278728,8895
chr12,cg16290534,8895
chr12,cg16300531,8894
chr12,cg16310717,10972
chr12,cg16320626,8894
chr12,cg16337430,8895
chr12,cg16350126,8892
chr12,cg16377117,8895
chr12,cg16406892,8895
chr12,cg16409497,8894
chr12,cg16419620,8879
chr12,cg16423624,8895
chr12,cg16434674,8895
chr12,cg16471585,8895
chr12,cg16478733,8892
chr12,cg16484811,8895
chr12,cg16487573,8894
chr12,cg16496462,8895
chr12,cg16527105,8895
chr12,cg16531222,8603
chr12,cg16531955,8895
chr12,cg16611278,8894
chr12,cg16618141,8894
chr12,cg16620766,8895
chr12,cg16624984,8847
chr12,cg16635578,8895
chr12,cg16637254,8892
chr12,cg16638748,8895
chr12,cg16645344,8895
chr12,cg16655193,8894
chr12,cg16656469,8895
chr12,cg16706240,8895
chr12,cg16712637,8895
chr12,cg16716518,8891
chr12,cg16725944,8895
chr12,cg16731429,8893
chr12,cg16746770,8861
chr12,cg16757384,8895
chr12,cg16780939,8895
chr12,cg16801374,8895
chr12,cg16807911,10570
chr12,cg16837338,8788
chr12,cg16849562,8895
chr12,cg16854466,8894
chr12,cg16856286,8895
chr12,cg16861031,8895
chr12,cg16878595,8895
chr12,cg16880597,8895
chr12,cg16889839,8895
chr12,cg16918595,8895
chr12,cg16920621,8895
chr12,cg16921310,8895
chr12,cg16927811,8895
chr12,cg16956999,8894
chr12,cg16965605,8895
chr12,cg16994506,10976
chr12,cg17015844,8858
chr12,cg17050597,8895
chr12,cg17051560,8462
chr12,cg17054969,8895
chr12,cg17077401,8855
chr12,cg17080277,10977
chr12,cg17085352,8895
chr12,cg17130567,8895
chr12,cg17131837,8895
chr12,cg17146617,8889
chr12,cg17154218,8894
chr12,cg17169037,8895
chr12,cg17175626,8895
chr12,cg17178966,8895
chr12,cg17182048,8895
chr12,cg17187521,8895
chr12,cg17197538,10892
chr12,cg17230002,8895
chr12,cg17273416,8895
chr12,cg17282769,8895
chr12,cg17296482,8895
chr12,cg17308286,8878
chr12,cg17315453,8895
chr12,cg17318642,8895
chr12,cg17341477,8895
chr12,cg17342302,8895
chr12,cg17387577,8895
chr12,cg17389218,8893
chr12,cg17404412,8894
chr12,cg17410295,8894
chr12,cg17416608,10961
chr12,cg17421331,8895
chr12,cg17429587,8893
chr12,cg17452615,8895
chr12,cg17480461,8895
chr12,cg17516106,8894
chr12,cg17541810,8895
chr12,cg17558623,8895
chr12,cg17580045,10979
chr12,cg17639059,10978
chr12,cg17647904,8895
chr12,cg17703658,10979
chr12,cg17717091,8894
chr12,cg17718377,8895
chr12,cg17725129,8891
chr12,cg17733746,8895
chr12,cg17737641,8894
chr12,cg17772490,8895
chr12,cg17820065,8895
chr12,cg17825194,8893
chr12,cg17828445,8878
chr12,cg17830716,8895
chr12,cg17839399,8895
chr12,cg17846064,8893
chr12,cg17869315,8895
chr12,cg17881542,8894
chr12,cg17886028,10979
chr12,cg17955329,8895
chr12,cg17979479,8895
chr12,cg18048953,8895
chr12,cg18049099,8895
chr12,cg18050543,8894
chr12,cg18050734,8895
chr12,cg18052984,8894
chr12,cg18142353,10979
chr12,cg18151635,8895
chr12,cg18161956,8894
chr12,cg18164508,8889
chr12,cg18166347,8895
chr12,cg18221226,8895
chr12,cg18234145,8894
chr12,cg18240850,8895
chr12,cg18303049,8895
chr12,cg18304766,8893
chr12,cg18394848,10978
chr12,cg18449739,8895
chr12,cg18478905,8895
chr12,cg18527133,8894
chr12,cg18538821,8895
chr12,cg18545490,8892
chr12,cg18567954,8895
chr12,cg18575346,8895
chr12,cg18575770,8895
chr12,cg18584387,8895
chr12,cg18591973,10979
chr12,cg18618936,8894
chr12,cg18637339,8895
chr12,cg18648169,8895
chr12,cg18673726,8894
chr12,cg18697143,8894
chr12,cg18715511,8895
chr12,cg18719723,8895
chr12,cg18752222,8895
chr12,cg18763536,8895
chr12,cg18780217,8895
chr12,cg18795232,8895
chr12,cg18829183,8895
chr12,cg18836267,8895
chr12,cg18852781,8895
chr12,cg18906324,8895
chr12,cg18906815,8895
chr12,cg18907610,8895
chr12,cg18919192,8895
chr12,cg18990042,8895
chr12,cg19005335,8895
chr12,cg19007602,10978
chr12,cg19018201,8895
chr12,cg19066141,8895
chr12,cg19069347,8895
chr12,cg19092721,8895
chr12,cg19122402,8894
chr12,cg19142411,8894
chr12,cg19145886,8895
chr12,cg19172447,8895
chr12,cg19181132,8895
chr12,cg19186356,10978
chr12,cg19215678,8894
chr12,cg19252671,8895
chr12,cg19253410,8895
chr12,cg19258882,10979
chr12,cg19301250,8894
chr12,cg19303619,8895
chr12,cg19311889,8895
chr12,cg19341309,8895
chr12,cg19344708,8895
chr12,cg19346371,8893
chr12,cg19355069,8895
chr12,cg19368679,8895
chr12,cg19374476,8895
chr12,cg19382290,8895
chr12,cg19388446,8895
chr12,cg19402885,10968
chr12,cg19426459,8895
chr12,cg19426944,8895
chr12,cg19427610,10979
chr12,cg19451673,8895
chr12,cg19452060,8895
chr12,cg19460283,8895
chr12,cg19466605,8895
chr12,cg19478678,8895
chr12,cg19509514,8895
chr12,cg19510318,8895
chr12,cg19520710,8895
chr12,cg19525226,8895
chr12,cg19536810,8895
chr12,cg19542346,8895
chr12,cg19563525,8893
chr12,cg19582614,8893
chr12,cg19601035,10979
chr12,cg19603596,8895
chr12,cg19620982,8895
chr12,cg19631815,8895
chr12,cg19641582,8894
chr12,cg19682249,8895
chr12,cg19693177,8895
chr12,cg19713038,8895
chr12,cg19722181,8895
chr12,cg19743522,8895
chr12,cg19761594,8895
chr12,cg19767052,8895
chr12,cg19784205,8892
chr12,cg19791379,8894
chr12,cg19846700,8894
chr12,cg19848940,8529
chr12,cg19865523,8895
chr12,cg19895345,8895
chr12,cg19977966,8894
chr12,cg19981660,8895
chr12,cg19995539,8895
chr12,cg20024259,8894
chr12,cg20053158,10979
chr12,cg20055546,8895
chr12,cg20066120,8895
chr12,cg20074699,8895
chr12,cg20078640,8895
chr12,cg20088964,10979
chr12,cg20097289,8894
chr12,cg20098478,10979
chr12,cg20104341,8894
chr12,cg20121920,8895
chr12,cg20131578,8895
chr12,cg20136009,8841
chr12,cg20163166,8895
chr12,cg20199655,8895
chr12,cg20230370,8895
chr12,cg20234947,8895
chr12,cg20249469,8895
chr12,cg20251110,8895
chr12,cg20252690,8895
chr12,cg20255775,8895
chr12,cg20263444,8893
chr12,cg20304750,8895
chr12,cg20308189,8895
chr12,cg20308811,8894
chr12,cg20314874,8895
chr12,cg20335206,8895
chr12,cg20352351,8895
chr12,cg20361429,8895
chr12,cg20380069,10978
chr12,cg20383078,8895
chr12,cg20395646,8895
chr12,cg20405918,8894
chr12,cg20409636,8893
chr12,cg20448447,8895
chr12,cg20456276,8895
chr12,cg20462883,8894
chr12,cg20474144,8895
chr12,cg20482364,10979
chr12,cg20494738,8895
chr12,cg20525461,8892
chr12,cg20569203,8895
chr12,cg20587394,10979
chr12,cg20590175,8895
chr12,cg20594607,8894
chr12,cg20595268,8895
chr12,cg20595271,8876
chr12,cg20600850,8895
chr12,cg20605103,8895
chr12,cg20688651,8881
chr12,cg20698069,8894
chr12,cg20701850,10979
chr12,cg20718350,8895
chr12,cg20723473,8894
chr12,cg20724781,8895
chr12,cg20727555,8895
chr12,cg20732027,8895
chr12,cg20755408,8895
chr12,cg20779414,10979
chr12,cg20836156,8889
chr12,cg20874044,8895
chr12,cg20878780,8894
chr12,cg20884605,8894
chr12,cg20911986,8401
chr12,cg20912752,8895
chr12,cg20961939,8895
chr12,cg20978010,8892
chr12,cg20995304,8895
chr12,cg21016902,8894
chr12,cg21027526,8895
chr12,cg21044865,8895
chr12,cg21049965,8895
chr12,cg21052873,8895
chr12,cg21057429,8895
chr12,cg21075111,8894
chr12,cg21075590,8895
chr12,cg21131796,8895
chr12,cg21166985,8895
chr12,cg21168444,8854
chr12,cg21169969,8895
chr12,cg21177064,8895
chr12,cg21223094,8894
chr12,cg21235119,8895
chr12,cg21247666,8126
chr12,cg21249371,8895
chr12,cg21249754,8895
chr12,cg21331473,8893
chr12,cg21334449,8895
chr12,cg21376004,8895
chr12,cg21381360,8894
chr12,cg21383810,8895
chr12,cg21383971,8895
chr12,cg21385432,8895
chr12,cg21419475,10979
chr12,cg21423404,8895
chr12,cg21462428,8895
chr12,cg21470387,8895
chr12,cg21475526,8895
chr12,cg21477262,8895
chr12,cg21535657,8895
chr12,cg21558545,8895
chr12,cg21563219,8895
chr12,cg21580016,8895
chr12,cg21580220,8893
chr12,cg21581283,8894
chr12,cg21586215,8895
chr12,cg21593001,8895
chr12,cg21594297,8893
chr12,cg21620979,8895
chr12,cg21626573,8895
chr12,cg21633208,10979
chr12,cg21640861,8895
chr12,cg21645630,8895
chr12,cg21648012,8895
chr12,cg21648069,8850
chr12,cg21660687,10979
chr12,cg21703988,8895
chr12,cg21781916,8895
chr12,cg21787386,8766
chr12,cg21800439,10979
chr12,cg21812369,8892
chr12,cg21822187,8893
chr12,cg21854184,8895
chr12,cg21867733,8895
chr12,cg21902327,10979
chr12,cg21903525,8895
chr12,cg21913681,8895
chr12,cg21956815,8895
chr12,cg21968169,10976
chr12,cg22026192,8895
chr12,cg22026610,8895
chr12,cg22035498,8894
chr12,cg22049485,8895
chr12,cg22125370,10978
chr12,cg22138822,8895
chr12,cg22148191,8895
chr12,cg22153481,10979
chr12,cg22154024,8894
chr12,cg22158248,8894
chr12,cg22168796,8895
chr12,cg22191803,8895
chr12,cg22207537,8895
chr12,cg22210060,8894
chr12,cg22228488,8894
chr12,cg22237014,8895
chr12,cg22243222,8895
chr12,cg22249456,8895
chr12,cg22260508,8895
chr12,cg22265294,8895
chr12,cg22279519,8894
chr12,cg22326903,8895
chr12,cg22335340,10979
chr12,cg22336491,8895
chr12,cg22346429,8895
chr12,cg22356339,8894
chr12,cg22357390,8895
chr12,cg22370296,8894
chr12,cg22371742,8895
chr12,cg22372815,8894
chr12,cg22374861,8894
chr12,cg22402853,8895
chr12,cg22466209,8895
chr12,cg22500428,8894
chr12,cg22514674,8895
